CensusId,State,State code,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,ID_y,crime_rate_per_100000,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON
1001,Alabama,AL,Autauga,55221,26745,28476,2.6,75.8,18.5,0.4,1.0,0.0,40725,51281.0,24974,12.9,18.6,33.2,17.0,24.2,8.6,17.1,87.5,8.8,0.1,0.5,1.3,1.8,26.5,23986,73.6,20.9,5.5,0.0,7.6,2938,251.6019259,3,15,34,87,447,1233,85,108
1003,Alabama,AL,Baldwin,195121,95314,99807,4.5,83.1,9.5,0.6,0.7,0.0,147695,50254.0,27317,13.4,19.2,33.1,17.7,27.1,10.8,11.2,84.7,8.8,0.1,1.0,1.4,3.9,26.4,85953,81.5,12.3,5.8,0.4,7.5,2939,228.086325,8,30,76,332,967,3829,192,31
1005,Alabama,AL,Barbour,26932,14497,12435,4.6,46.2,46.7,0.2,0.4,0.0,20714,32964.0,16824,26.7,45.3,26.8,16.1,23.1,10.8,23.1,83.8,10.9,0.4,1.8,1.5,1.6,24.1,8597,71.8,20.8,7.3,0.1,17.6,2940,177.2787709,0,4,8,36,90,362,21,0
1007,Alabama,AL,Bibb,22604,12073,10531,2.2,74.5,21.4,0.4,0.1,0.0,17495,38678.0,18431,16.8,27.9,21.5,17.9,17.8,19.0,23.7,83.2,13.5,0.5,0.6,1.5,0.7,28.8,8294,76.8,16.1,6.7,0.4,8.3,2941,217.66169150000002,1,4,8,36,122,251,27,0
1009,Alabama,AL,Blount,57710,28512,29198,8.6,87.9,1.5,0.3,0.1,0.0,42345,45813.0,20532,16.7,27.2,28.5,14.1,23.9,13.5,19.9,84.9,11.2,0.4,0.9,0.4,2.3,34.9,22189,82.0,13.5,4.2,0.4,7.7,2942,210.8100636,1,11,9,101,397,865,86,9
1011,Alabama,AL,Bullock,10678,5660,5018,4.4,22.2,70.7,1.2,0.2,0.0,8057,31938.0,17580,24.6,38.4,18.8,15.0,19.7,20.1,26.4,74.9,14.9,0.7,5.0,1.7,2.8,27.5,3865,79.5,15.1,5.4,0.0,18.0,2943,526.3652599,0,2,12,43,98,55,3,23
1013,Alabama,AL,Butler,20354,9502,10852,1.2,53.3,43.8,0.1,0.4,0.0,15581,32229.0,18390,25.4,39.2,27.5,16.6,21.9,10.3,23.7,84.5,12.4,0.0,0.8,0.6,1.7,24.6,7813,77.4,16.2,6.2,0.2,10.9,2944,537.8731803999999,6,5,11,87,182,408,30,3
1015,Alabama,AL,Calhoun,116648,56274,60374,3.5,73.0,20.3,0.2,0.9,0.0,88612,41703.0,21374,20.5,31.6,27.3,17.7,24.2,10.5,20.4,85.3,9.4,0.2,1.2,1.2,2.7,24.1,47401,74.1,20.8,5.0,0.1,12.3,2945,580.7976974,6,37,131,504,1710,3482,147,34
1017,Alabama,AL,Chambers,34079,16258,17821,0.4,57.3,40.3,0.2,0.8,0.0,26462,34177.0,21071,21.6,37.2,23.3,14.5,26.3,11.5,24.4,85.1,11.9,0.2,0.3,0.4,2.1,25.1,13689,85.1,12.1,2.8,0.0,8.9,2946,562.0279843,1,7,24,160,374,875,96,5
1019,Alabama,AL,Cherokee,26008,12975,13033,1.5,91.7,4.8,0.6,0.3,0.0,20600,36296.0,21811,19.2,30.1,29.3,16.0,19.5,13.7,21.5,83.9,12.1,0.2,0.6,0.7,2.5,27.4,10155,73.1,18.5,7.9,0.5,7.9,2947,415.98290269999995,1,4,2,102,329,610,75,12
1021,Alabama,AL,Chilton,43819,21619,22200,7.6,80.5,10.2,0.4,0.3,0.0,31728,41627.0,21399,19.1,30.6,27.2,14.3,23.7,15.3,19.5,81.2,14.2,0.2,1.1,1.4,1.9,32.0,17895,80.3,15.2,4.1,0.5,9.1,2948,354.94072939999995,0,13,14,129,389,886,87,8
1023,Alabama,AL,Choctaw,13395,6382,7013,0.4,55.9,42.9,0.0,0.0,0.0,10568,33536.0,20755,23.4,34.4,24.9,15.4,19.6,18.3,21.8,85.5,10.3,0.1,1.9,1.4,0.8,30.7,4405,77.5,16.8,5.4,0.3,13.6,2949,96.82705199,1,0,0,12,38,42,5,0
1025,Alabama,AL,Clarke,25070,11834,13236,0.3,53.4,45.3,0.0,0.4,0.4,19258,32011.0,20064,24.7,29.8,21.1,15.0,25.5,11.6,26.9,82.0,12.8,0.2,1.3,2.6,1.1,23.0,8161,83.1,13.6,3.3,0.0,19.4,2950,480.0253898,0,16,12,93,172,399,34,1
1027,Alabama,AL,Clay,13537,6671,6866,3.2,79.9,14.4,0.7,0.0,0.0,10312,35327.0,18905,16.7,22.5,21.5,13.3,20.8,15.3,29.1,84.3,10.4,0.6,1.8,0.9,2.1,30.3,5180,77.5,14.7,7.8,0.0,9.4,2951,430.075634,0,0,3,55,26,95,11,24
1029,Alabama,AL,Cleburne,15002,7334,7668,2.3,92.5,2.9,0.2,0.4,0.0,11367,38056.0,20151,17.0,26.3,28.9,11.7,23.1,15.6,20.7,77.6,17.7,0.1,0.2,1.0,3.4,33.3,6065,76.3,15.3,8.4,0.0,8.3,2952,193.4106976,0,1,2,25,88,178,8,2
1031,Alabama,AL,Coffee,50884,25174,25710,6.4,71.5,17.2,0.8,1.2,0.0,37575,46729.0,24936,17.1,26.4,32.2,18.6,22.7,12.1,14.5,85.3,9.6,0.1,1.0,1.3,2.8,20.9,20912,70.3,23.5,5.7,0.5,7.1,2953,341.591739,2,5,12,155,321,786,73,13
