state,counties,population,total_employed,self_employed,unemployed,crime_rate_per_100000,murder,rape,robbery,assault,burglary,auto_theft,arson
Oklahoma,77,3849733,1719541,107479.192,246239.069,253.938991934286,216,1613,3208,12870,35765,11564,898
North Carolina,100,9845333,4372773,252940.378,937756.252,269.3901540027,472,1937,9245,22127,97256,15827,1784
Colorado,64,5278906,2624436,167745.69,371214.784,181.824626617031,152,2106,3372,10161,25796,11973,909
Mississippi,82,2988081,1203914,65685.636,314003.263,146.211026961781,188,665,2003,3396,22202,3542,351
Florida,67,19645772,8541291,503092.394,1912549.352,412.9387034,1009,5251,23836,63801,153262,37203,1747
Vermont,14,626604,326732,30244.105,34494.521,119.252844412143,8,128,112,629,4146,458,73
Delaware,3,926454,433816,17028.151,71496.498,524.4246666,56,249,1498,3245,7390,1438,226
Nevada,17,2798636,1267312,64308.774,293736.531,434.956352374118,117,924,4913,10676,22022,9991,406
Louisiana,63,4610354,2010695,110792.554,378329.968,397.330897035238,487,1106,5325,15021,40611,7655,568
New York,62,19673174,9254578,546133.036,1631490.854,212.165157597419,682,2827,28585,47280,64066,17158,1544
West Virginia,55,1851420,751252,33329.054,145745.72,252.774189848909,70,398,794,4289,11109,2194,329
South Carolina,46,4777576,2075274,110418.442,458519.48,581.137384376087,333,1709,4489,19815,45044,13438,811
New Jersey,21,8904413,4281760,202388.824,786146.369,270.737716620476,388,1034,11368,12889,42331,16444,828
New Mexico,32,1870154,787116,52140.747,169528.334,427.222425846875,107,805,1731,7778,19088,4940,348
Hawaii,5,1406299,653284,45180.217,85486.871,203.3638081,21,279,1125,1953,7653,3865,312
Arkansas,75,2958208,1256081,78649.194,231175.747,334.7507271336,173,1219,2302,10032,32300,5652,564
Missouri,115,6045448,2807996,159698.148,455720.523,270.209325947913,390,1527,5781,19480,42525,16328,1543
Connecticut,8,3593222,1781417,112641.044,316994.462,180.52094943125,109,876,3636,5212,13447,6154,324
South Dakota,65,829037,427627,35449.19,36518.044,100.916841346769,15,474,141,1256,2846,905,113
District of Columbia,1,647484,337815,14863.86,62158.464,1216.801325,88,236,4037,3505,3519,3663,51
Iowa,99,3093526,1573510,102359.849,153255.424,168.583339336515,49,879,955,6050,16948,3951,560
Indiana,92,6568645,3038762,140483.661,517109.813,139.118946472609,312,1555,6479,13324,44740,12921,1211
Massachusetts,14,6705586,3415975,206940.779,510899.374,392.381274414286,122,1623,6471,18402,33968,9085,613
Rhode Island,5,1053661,518170,25473.515,90557.796,157.577721514,35,292,715,1615,5929,2629,182
Ohio,88,11575977,5366673,267385.847,948638.698,138.136986863409,478,3678,15042,14572,100843,19160,3577
Michigan,83,9900571,4373518,220356.643,990829.948,244.082542115422,700,4554,10381,28898,64825,24843,2404
Minnesota,87,5419171,2827195,159319.599,304081.033,134.415778915862,98,2062,3450,6725,24838,8251,823
Pennsylvania,67,12779559,6001889,308832.345,1018490.382,222.141789541493,707,3369,15733,25561,57017,15105,1729
Washington,39,6985464,3259877,195954.361,554545.247,205.449828443846,211,2180,5755,12019,60417,26099,1233
Wisconsin,72,5742117,2883390,148249.806,364992.783,142.59951663125,168,1205,4671,9969,27365,8110,728
Montana,56,1014699,485446,44470.043,64319.937,182.74077371125,22,337,199,1993,3664,1546,187
Kentucky,120,4397353,1891381,102701.614,380319.648,98.7178958842083,181,1289,3462,4723,29283,6619,696
Arizona,15,6641928,2813406,166408.968,603931.233,352.629442717333,325,1725,7263,16638,50486,17683,1405
Illinois,102,12873761,6086226,284092.343,1167322.705,242.787883475971,768,2774,19309,29108,69372,25986,2250
Virginia,133,8256630,3990770,199078.751,544652.038,173.126854959699,322,1501,4714,9111,29612,9105,1251
Maryland,24,5930538,2976504,141869.667,443834.721,378.3289625625,373,1237,10173,16301,33470,14494,1367
Georgia,159,10006693,4388274,241672.359,970188.621,295.55259504,583,2118,12384,22126,85888,28373,1213
Wyoming,23,579679,293949,18724.484,28265.18,155.001181991304,14,147,60,866,2053,548,91
Utah,29,2903379,1337646,60806.832,168028.075,145.260611038276,51,961,1069,3699,12793,5896,270
New Hampshire,10,1324201,698810,48694.588,76166.094,160.15512436,15,421,458,1410,4926,927,307
North Dakota,53,721640,387716,31550.978,21033.573,94.4770582311321,14,250,117,1073,2247,1043,79
Nebraska,93,1869365,968134,65201.731,87840.119,61.6263943651613,52,665,1122,2744,8335,4054,200
Maine,16,1329100,648687,56701.847,91818.517,115.9571818825,26,372,420,803,7451,989,227
California,58,38421464,17246360,1434112.661,3845640.47,416.077952574138,1879,7826,56484,94420,245558,168515,7395
Tennessee,95,6499615,2888742,197966.573,555772.526,401.288347462631,397,2042,8147,30530,56151,12939,1213
Kansas,105,2892987,1401197,85448.584,173031.488,237.480368835333,85,1108,1492,7617,18823,6756,825
Texas,254,26538614,12094262,799233.239,1879388.476,255.002815777697,1148,7683,30369,67068,204837,65043,4438
Oregon,36,3939233,1789807,138991.463,371473.548,166.665166778917,88,1139,2422,5835,21653,10122,975
Idaho,44,1616547,715861,54733.856,116883.801,156.561056304318,25,474,237,2498,7188,1371,238
Alaska,22,708290,340497,21208.235,57940.81,302.471909391364,21,439,591,2351,1781,1223,136
Alabama,67,4830620,2022325,105899.501,454469.598,385.645690819254,341,1283,4988,14857,46928,9757,1025
